origin,destination,allowed
4C-MED GEN/INTERNE/TELEMETRIE,4A-CHIR.GENERALE/GYN-ONCO/URO,1
4D ONCOLOGIE,4A-CHIR.GENERALE/GYN-ONCO/URO,1
4E-ORTHOPEDIE/URO/ORL/PLASTIE,4A-CHIR.GENERALE/GYN-ONCO/URO,1
4F-NEPHROLOGIE,4A-CHIR.GENERALE/GYN-ONCO/URO,1
SOINS INT MED CHIRURGICAUX,4A-CHIR.GENERALE/GYN-ONCO/URO,0
SOINS CORONARIENS,4A-CHIR.GENERALE/GYN-ONCO/URO,0
SOINS INTERMEDIAIRES,4A-CHIR.GENERALE/GYN-ONCO/URO,0
3B-GYNECO/OBS,4B-PSYCHIATRIE,0
3D-PEDIATRIE,4B-PSYCHIATRIE,0
3D PEDOPSYCHIATRIE,4B-PSYCHIATRIE,1
3F-EVAL./READAPTATION/AVC,4B-PSYCHIATRIE,0
3FSP-SOINS PALLIATIFS,4B-PSYCHIATRIE,0
4A-CHIR.GENERALE/GYN-ONCO/URO,4B-PSYCHIATRIE,0
4B-PSYCHIATRIE,4B-PSYCHIATRIE,1
4C-MED GEN/INTERNE/TELEMETRIE,4B-PSYCHIATRIE,0
4D ONCOLOGIE,4B-PSYCHIATRIE,0
4E-ORTHOPEDIE/URO/ORL/PLASTIE,4B-PSYCHIATRIE,0
4F-NEPHROLOGIE,4B-PSYCHIATRIE,0
SOINS INT MED CHIRURGICAUX,4B-PSYCHIATRIE,0
SOINS CORONARIENS,4B-PSYCHIATRIE,0
SOINS INTERMEDIAIRES,4B-PSYCHIATRIE,0
3B-GYNECO/OBS,4C-MED GEN/INTERNE/TELEMETRIE,1
3D-PEDIATRIE,4C-MED GEN/INTERNE/TELEMETRIE,1
3D PEDOPSYCHIATRIE,4C-MED GEN/INTERNE/TELEMETRIE,0
3F-EVAL./READAPTATION/AVC,4C-MED GEN/INTERNE/TELEMETRIE,1
3FSP-SOINS PALLIATIFS,4C-MED GEN/INTERNE/TELEMETRIE,0
4A-CHIR.GENERALE/GYN-ONCO/URO,4C-MED GEN/INTERNE/TELEMETRIE,1
4B-PSYCHIATRIE,4C-MED GEN/INTERNE/TELEMETRIE,0
4C-MED GEN/INTERNE/TELEMETRIE,4C-MED GEN/INTERNE/TELEMETRIE,1
4D ONCOLOGIE,4C-MED GEN/INTERNE/TELEMETRIE,1
4E-ORTHOPEDIE/URO/ORL/PLASTIE,4C-MED GEN/INTERNE/TELEMETRIE,1
4F-NEPHROLOGIE,4C-MED GEN/INTERNE/TELEMETRIE,1
SOINS INT MED CHIRURGICAUX,4C-MED GEN/INTERNE/TELEMETRIE,0
SOINS CORONARIENS,4C-MED GEN/INTERNE/TELEMETRIE,0
SOINS INTERMEDIAIRES,4C-MED GEN/INTERNE/TELEMETRIE,0
3B-GYNECO/OBS,4D ONCOLOGIE,1
3D-PEDIATRIE,4D ONCOLOGIE,1
3D PEDOPSYCHIATRIE,4D ONCOLOGIE,0
3F-EVAL./READAPTATION/AVC,4D ONCOLOGIE,1
3FSP-SOINS PALLIATIFS,4D ONCOLOGIE,0
4A-CHIR.GENERALE/GYN-ONCO/URO,4D ONCOLOGIE,1
4B-PSYCHIATRIE,4D ONCOLOGIE,0
4C-MED GEN/INTERNE/TELEMETRIE,4D ONCOLOGIE,1
4D ONCOLOGIE,4D ONCOLOGIE,1
4E-ORTHOPEDIE/URO/ORL/PLASTIE,4D ONCOLOGIE,1
4F-NEPHROLOGIE,4D ONCOLOGIE,1
SOINS INT MED CHIRURGICAUX,4D ONCOLOGIE,0
SOINS CORONARIENS,4D ONCOLOGIE,0
SOINS INTERMEDIAIRES,4D ONCOLOGIE,0
3B-GYNECO/OBS,4E-ORTHOPEDIE/URO/ORL/PLASTIE,1
3D-PEDIATRIE,4E-ORTHOPEDIE/URO/ORL/PLASTIE,1
3D PEDOPSYCHIATRIE,4E-ORTHOPEDIE/URO/ORL/PLASTIE,0
3F-EVAL./READAPTATION/AVC,4E-ORTHOPEDIE/URO/ORL/PLASTIE,1
3FSP-SOINS PALLIATIFS,4E-ORTHOPEDIE/URO/ORL/PLASTIE,0
4A-CHIR.GENERALE/GYN-ONCO/URO,4E-ORTHOPEDIE/URO/ORL/PLASTIE,1
4B-PSYCHIATRIE,4E-ORTHOPEDIE/URO/ORL/PLASTIE,0
4C-MED GEN/INTERNE/TELEMETRIE,4E-ORTHOPEDIE/URO/ORL/PLASTIE,1
4D ONCOLOGIE,4E-ORTHOPEDIE/URO/ORL/PLASTIE,1
4E-ORTHOPEDIE/URO/ORL/PLASTIE,4E-ORTHOPEDIE/URO/ORL/PLASTIE,1
4F-NEPHROLOGIE,4E-ORTHOPEDIE/URO/ORL/PLASTIE,1
SOINS INT MED CHIRURGICAUX,4E-ORTHOPEDIE/URO/ORL/PLASTIE,0
SOINS CORONARIENS,4E-ORTHOPEDIE/URO/ORL/PLASTIE,0
