Date,facility,Unit,Beds,Patient_days,Admissions,Discharges
2026-02-17,GDH,4E-ORTHOPEDIE/ORL/PLASTIE,25,28,1,1
2026-02-17,GDH,3D-PEDIATRIE,9,9,,1
2026-02-17,GDH,3FSP-SOINS PALLIATIFS,4,4,,1
2026-02-17,GDH,4F-NEPHROLOGIE,19,20,,
2026-02-17,GDH,4A-CHIR.GENERALE/GYN-ONCO/URO,27,27,,2
2026-02-17,GDH,4B-PSYCHIATRIE,24,23,,1
2026-02-17,GDH,3F-EVAL./READAPTATION/AVC,17,17,,
2026-02-17,GDH,3B-MERE ENFANT,13,7,,3
2026-02-17,GDH,SOINS INT MED CHIRURGICAUX,10,7,1,
2026-02-17,GDH,SOINS CORONARIENS,6,6,1,
2026-02-17,GDH,SOINS INTERMEDIAIRES,8,6,,1
2026-02-17,GDH,3D PEDOPSYCHIATRIE,4,2,,2
2026-02-17,GDH,4C-MED GEN/INTERNE/TELEMETRIE,30,31,,
2026-02-17,GDH,4D ONCOLOGIE,23,21,3,4
