Unit,Raw_Census
3B-GYNECO/OBS,8
3D-PEDIATRIE,8
3D PEDOPSYCHIATRIE,2
3F-EVAL./READAPTATION/AVC,17
3FSP-SOINS PALLIATIFS,4
4A-CHIR.GENERALE/GYN-ONCO/URO,23
4B-PSYCHIATRIE,16
4C-MED GEN/INTERNE/TELEMETRIE,31
4D ONCOLOGIE,22
4E-ORTHOPEDIE/URO/ORL/PLASTIE,24
4F-NEPHROLOGIE,19
SOINS INT MED CHIRURGICAUX,8
SOINS CORONARIENS,7
SOINS INTERMEDIAIRES,8
