Unit,Raw_Census
3B-GYNECO/OBS,7
3D-PEDIATRIE,9
3D PEDOPSYCHIATRIE,2
3F-EVAL./READAPTATION/AVC,17
3FSP-SOINS PALLIATIFS,4
4A-CHIR.GENERALE/GYN-ONCO/URO,25
4B-PSYCHIATRIE,16
4C-MED GEN/INTERNE/TELEMETRIE,31
4D ONCOLOGIE,24
4E-ORTHOPEDIE/URO/ORL/PLASTIE,26
4F-NEPHROLOGIE,20
SOINS INT MED CHIRURGICAUX,8
SOINS CORONARIENS,5
SOINS INTERMEDIAIRES,8
