Unit,Raw_Census
3B-GYNECO/OBS,10
3D-PEDIATRIE,10
3D PEDOPSYCHIATRIE,2
3F-EVAL./READAPTATION/AVC,17
3FSP-SOINS PALLIATIFS,4
4A-CHIR.GENERALE/GYN-ONCO/URO,27
4B-PSYCHIATRIE,15
4C-MED GEN/INTERNE/TELEMETRIE,32
4D ONCOLOGIE,25
4E-ORTHOPEDIE/URO/ORL/PLASTIE,27
4F-NEPHROLOGIE,20
SOINS INT MED CHIRURGICAUX,8
SOINS CORONARIENS,6
SOINS INTERMEDIAIRES,7
