Unit,Raw_Census
3B-GYNECO/OBS,11
3D-PEDIATRIE,10
3D PEDOPSYCHIATRIE,2
3F-EVAL./READAPTATION/AVC,17
3FSP-SOINS PALLIATIFS,4
4A-CHIR.GENERALE/GYN-ONCO/URO,27
4B-PSYCHIATRIE,17
4C-MED GEN/INTERNE/TELEMETRIE,31
4D ONCOLOGIE,24
4E-ORTHOPEDIE/URO/ORL/PLASTIE,26
4F-NEPHROLOGIE,19
SOINS INT MED CHIRURGICAUX,7
SOINS CORONARIENS,5
SOINS INTERMEDIAIRES,8
