Unit,Raw_Census
3B-GYNECO/OBS,9
3D-PEDIATRIE,9
3D PEDOPSYCHIATRIE,3
3F-EVAL./READAPTATION/AVC,17
3FSP-SOINS PALLIATIFS,3
4A-CHIR.GENERALE/GYN-ONCO/URO,25
4B-PSYCHIATRIE,21
4C-MED GEN/INTERNE/TELEMETRIE,31
4D ONCOLOGIE,23
4E-ORTHOPEDIE/URO/ORL/PLASTIE,28
4F-NEPHROLOGIE,20
SOINS INT MED CHIRURGICAUX,7
SOINS CORONARIENS,6
SOINS INTERMEDIAIRES,8
