location,admission_avg,discharge_avg,los_avg
4B-PSYCHIATRIE,1.0263157894736843,2.2072072072072078,40.937777777777775
3FSP-SOINS PALLIATIFS,1.0,1.2893081761006289,8.137724550898204
SOINS INTERMEDIAIRES,1.1454545454545455,1.6755555555555557,8.126888217522659
SOINS INT MED CHIRURGICAUX,1.15,1.2823529411764707,9.11864406779661
4C-MED GEN/INTERNE/TELEMETRIE,1.3333333333333333,2.5251572327044025,32.55172413793103
3B-MERE ENFANT,0.9642857142857144,2.830903790087464,9.0
4D ONCOLOGIE,1.4343434343434345,1.7386363636363635,27.42809364548495
SOINS CORONARIENS,1.1694915254237288,1.331578947368421,6.850498338870432
3D PEDOPSYCHIATRIE,0.0,1.140625,15.305555555555555
3F-EVAL./READAPTATION/AVC,1.173913043478261,1.223021582733813,33.50526315789474
4F-NEPHROLOGIE,1.152,1.5555555555555556,27.106617647058822
4A-CHIR.GENERALE/GYN-ONCO/URO,1.3160919540229885,3.708683473389356,25.53021978021978
4E-ORTHOPEDIE/ORL/PLASTIE,1.2266666666666666,1.9824561403508767,28.579881656804734
3D-PEDIATRIE,1.121212121212121,2.0965517241379312,9.954692556634305
